blog_name,url,feed_url,category,priority,active,description,tags
openai.com,https://openai.com/blog,,other,medium,true,자동 분석 실패: 403 Client Error: Forbidden for url: https://openai.com/blog,
News â Google DeepMind,https://www.deepmind.com/blog,https://www.deepmind.com/blog/feed,ml,medium,true,"Discover our latest AI breakthroughs, projects, and updates.","model,project,genie,experimenting,infinite"
Google Research,https://ai.googleblog.com,,other,medium,true,We strive to create an environment conducive to many different types of research across many different time scales and levels of risk.,
AI at Meta Blog,https://ai.meta.com/blog,,ml,medium,true,Stay up to date on the latest artificial intelligence news from Meta.,"ai,app,our,approach,meta"
research.nvidia.com,https://research.nvidia.com/blog,,other,medium,true,자동 분석 실패: 404 Client Error: Not Found for url: https://research.nvidia.com/blog,
Artificial Intelligence,https://aws.amazon.com/blogs/machine-learning,https://aws.amazon.com/blogs/machine-learning/feed/,ml,medium,true,,"ai,artificial-intelligence,model,training,art"
The TensorFlow Blog,https://blog.tensorflow.org,https://blog.tensorflow.org/feeds/posts/default,ml,medium,true,"The TensorFlow blog contains regular news from the TensorFlow team and the community, with articles on Python, TensorFlow.js, TF Lite, TFX, and more.","tensorflow,search,tags,all,core"
Blog – PyTorch,https://pytorch.org/blog,https://pytorch.org/feed/,ml,medium,true,Access comprehensive developer documentation for PyTorch,"ai,pytorch,model,training,art"
Hugging Face – Blog,https://huggingface.co/blog,https://huggingface.co/blog/feed.xml,other,medium,true,We’re on a journey to advance and democratize artificial intelligence through open source and open science.,
Microsoft Research,https://www.microsoft.com/en-us/research/blog,https://www.microsoft.com/en-us/research/feed/,tech,medium,true,"The Microsoft Research blog provides in-depth views and perspectives from our researchers, scientists and engineers, plus announcements about noteworthy events, scholarships, and fellowships designed ","artificial-intelligence,algorithm,art,graphic,technology"
Andrej Karpathy blog,https://karpathy.github.io,https://karpathy.github.io/feed.xml,ml,medium,true,Musings of a Computer Scientist.,"deep-learning,neural-network,ai,model,training"
